#   path,  E(meV),     BV,      CN,      BL,    ECN,     DI  
    0.00    -0.75     0.26     5.00     2.13   4.9196  0.01493 
    2.43   120.63     0.24     5.00     2.17   4.5499  0.03639 
    9.68   194.58     0.30     4.00     2.08   3.9450  0.01534 
   12.10   123.99     0.31     4.00     2.09   3.8743  0.02363 
   24.24   366.55     0.28     4.00     2.14   3.3042  0.05900 
   48.29   650.66     0.27     4.00     2.18   2.8837  0.09303 
   72.88   435.07     0.27     4.00     2.16   3.1442  0.06742 
   87.82   132.23     0.30     4.00     2.09   3.8799  0.02377 
   92.89   142.60     0.30     4.00     2.08   3.9452  0.01564 
   98.15   120.73     0.24     5.00     2.16   4.6798  0.03122 
  100.00     0.76     0.26     5.00     2.13   4.9152  0.01515 

 Path Length = 4.14262401189
